 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
252,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:07154-09023,53.649,1.004,0.021,27.383,2885.718,2287.116,8.327,8.648,0.899,1.056,0.947,0.942
253,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:07292-13017,24.003,1.002,0.006,18.557,4166.516,2332.596,5.445,6.085,0.876,1.382,0.723,0.925
254,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:07302-04420,0.308,2.808,0.094,1.812,1415.315,2338.361,0.641,0.641,1.000,1.464,0.683,0.857
255,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:07401-09966,14.053,1.041,0.111,13.918,3189.664,2368.467,4.484,4.164,0.912,1.118,0.894,0.913
256,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:07453-07233,11.181,1.262,0.076,12.106,2314.660,2385.442,3.843,3.523,0.959,1.262,0.792,0.944
257,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:07569-07295,14.053,1.376,0.218,14.293,2334.517,2421.954,4.164,4.484,0.864,1.283,0.780,0.898
258,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:07588-09582,9.232,1.552,0.085,11.466,3067.317,2428.359,3.203,3.843,0.882,1.196,0.836,0.896
259,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:07699-05529,11.079,1.659,0.214,12.559,1768.904,2464.231,4.164,3.523,0.883,1.354,0.739,0.911
260,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:07703-04972,9.437,4.066,0.398,11.809,1590.828,2465.191,3.523,3.843,0.850,1.059,0.944,0.876
261,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:07756-06334,7.386,1.100,0.046,11.809,2027.049,2482.166,3.203,4.164,0.666,1.561,0.641,0.774
262,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:07836-15289,20.208,1.723,0.409,16.823,4894.511,2507.148,4.804,5.445,0.897,1.173,0.852,0.927
263,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:07908-12674,14.258,1.159,0.190,14.371,4057.301,2530.208,3.843,5.124,0.868,1.326,0.754,0.911
264,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:07934-09294,23.285,1.019,0.048,18.557,2973.475,2538.535,6.406,5.124,0.850,1.325,0.755,0.919
265,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:08178-01890,55.187,1.020,0.068,27.758,601.485,2614.762,8.007,8.968,0.900,1.120,0.893,0.950
266,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:08256-03233,48.315,0.999,3.907E-5,27.118,1031.941,2639.744,7.366,9.288,0.826,1.366,0.732,0.921
267,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:08279-07525,3.077,2.415,0.112,6.826,2409.463,2650.313,1.601,2.562,0.830,1.669,0.599,0.882
268,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:08315-07799,43.596,1.937,0.498,24.556,2494.017,2659.601,8.007,7.366,0.909,1.097,0.912,0.945
269,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:08332-02501,21.131,1.007,0.033,17.729,798.457,2665.686,5.124,6.085,0.845,1.379,0.725,0.902
270,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:08387-10073,17.644,0.998,1.230E-4,15.840,3223.933,2683.622,4.484,5.124,0.884,1.226,0.816,0.922
271,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:08417-02484,5.950,3.227,0.303,9.279,794.293,2694.511,2.883,2.883,0.868,1.113,0.899,0.892
272,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:08518-04171,25.132,1.145,0.172,18.635,1333.003,2725.258,6.085,5.765,0.909,1.215,0.823,0.930
273,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:08575-09529,25.440,1.094,0.141,19.541,3049.061,2743.194,6.085,6.406,0.837,1.700,0.588,0.929
274,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:08989-06312,28.004,1.002,0.009,19.651,2018.722,2876.110,6.085,6.085,0.911,1.010,0.990,0.935
275,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:09070-08983,37.954,1.018,0.056,22.931,2873.548,2901.732,7.366,6.726,0.907,1.104,0.906,0.943
276,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:09147-09036,0.103,1.977,0.000,1.281,2894.046,2929.597,0.320,0.320,0.785,1.000,1.000,1.000
277,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:09175-00115,12.822,2.021,0.646,14.636,34.590,2936.323,4.804,4.484,0.752,1.563,0.640,0.850
