 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
14,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:03111-14165,0.821,1.619,0.134,2.905,4536.439,996.069,0.961,0.961,1.000,1.229,0.814,0.941
15,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:03106-10759,18.156,1.005,0.017,15.917,3443.325,992.546,5.124,4.804,0.901,1.047,0.955,0.919
16,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:03135-11349,16.515,2.120,1.009,15.995,3632.290,1001.514,5.124,5.124,0.811,1.044,0.957,0.880
17,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:03239-07191,8.924,3.756,0.416,11.200,2301.529,1035.784,3.203,3.523,0.894,1.110,0.901,0.906
18,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:03255-09579,25.029,3.414,1.206,19.353,3064.755,1039.627,6.406,6.085,0.840,1.291,0.774,0.900
19,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:03291-17786,21.849,1.024,0.073,17.651,5694.249,1051.157,4.804,6.085,0.881,1.222,0.819,0.926
20,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:03341-17189,39.903,5.125,1.090,24.212,5501.441,1066.531,7.687,7.046,0.855,1.215,0.823,0.916
21,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:03932-13168,45.237,0.997,1.182E-4,25.384,4213.597,1255.496,7.687,8.007,0.882,1.305,0.766,0.939
22,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:03948-11260,31.594,1.260,0.088,22.291,3603.465,1260.940,6.085,7.046,0.799,1.224,0.817,0.906
23,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:03951-11259,90.782,1.203,0.096,40.661,3600.582,1259.659,11.210,11.850,0.690,1.223,0.817,0.880
24,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:04084-09810,29.440,1.947,0.918,20.822,3138.419,1305.139,7.046,6.085,0.853,1.096,0.912,0.910
25,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:04098-10951,15.489,1.051,0.126,14.371,3505.459,1309.943,3.843,5.124,0.942,1.273,0.786,0.938
26,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:04168-16038,0.308,5.832,0.679,2.562,5136.643,1334.605,0.320,0.961,0.589,3.000,0.333,1.000
27,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:04166-16046,22.773,3.254,2.016,32.288,5135.041,1330.761,8.648,7.046,0.275,1.498,0.668,0.563
28,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:04295-22004,1.539,1.463,0.103,4.452,7046.790,1374.960,1.281,1.601,0.976,1.486,0.673,0.857
29,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:04317-13526,11.797,1.910,0.313,12.372,4330.179,1380.725,3.843,3.843,0.969,1.018,0.983,0.931
30,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:04343-13247,70.061,1.106,0.260,31.867,4237.938,1386.490,9.929,9.288,0.867,1.160,0.862,0.943
31,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:04369-13387,8.514,1.054,0.052,11.919,4285.980,1397.700,3.523,3.523,0.753,1.172,0.853,0.818
32,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:04456-11335,71.600,1.020,0.059,32.961,3626.205,1421.721,8.648,10.890,0.828,1.245,0.803,0.939
33,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:04456-14318,90.988,1.118,0.280,37.302,4580.317,1421.721,11.210,10.890,0.822,1.129,0.886,0.931
34,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:05059-14798,22.260,2.522,0.710,17.917,4736.934,1617.412,5.445,5.765,0.871,1.114,0.897,0.910
35,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:05333-03646,17.028,1.036,0.090,15.730,1165.177,1705.809,5.124,4.804,0.865,1.078,0.928,0.892
36,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:05337-13070,8.001,1.738,0.168,10.638,4184.452,1707.730,3.523,3.203,0.889,1.226,0.815,0.891
37,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:05402-14639,27.799,1.004,0.023,19.948,4686.009,1726.947,5.445,6.406,0.878,1.286,0.778,0.936
38,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:05488-14100,16.720,2.199,0.376,16.183,4513.379,1755.452,5.445,4.804,0.802,1.184,0.845,0.874
39,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:05823-13986,29.850,2.118,1.033,21.696,4475.906,1861.464,7.366,7.046,0.797,1.136,0.880,0.877
40,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06061-17157,7.386,2.525,0.222,12.449,5493.114,1939.613,4.164,3.203,0.599,1.981,0.505,0.783
41,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06075-18341,26.465,1.031,0.066,20.104,5871.364,1942.815,6.085,6.085,0.823,1.154,0.867,0.910
42,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06083-13963,69.036,0.996,0.005,31.117,4467.259,1943.776,9.929,9.288,0.896,1.056,0.947,0.949
43,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06180-14565,1.744,2.350,0.136,5.998,4664.230,1978.046,1.281,2.562,0.609,2.849,0.351,0.756
44,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06203-12561,2.154,1.002,1.241E-4,5.358,4022.070,1986.053,1.922,1.601,0.943,1.393,0.718,0.840
45,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06201-11035,36.108,1.018,0.049,22.478,3531.082,1982.530,6.406,7.366,0.898,1.195,0.837,0.937
46,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06233-16340,20.721,1.018,0.068,17.089,5230.805,1993.740,5.445,5.445,0.892,1.276,0.784,0.922
47,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06338-09465,9.848,0.999,1.275E-4,12.106,3029.844,2028.330,3.523,3.523,0.844,1.154,0.867,0.897
48,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06407-18054,8.617,1.445,0.103,11.996,5780.725,2050.109,3.523,4.164,0.752,1.586,0.631,0.848
49,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06422-02099,3.180,1.280,0.297,7.279,671.306,2055.874,2.242,2.242,0.754,1.224,0.817,0.816
50,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06498-03240,1.334,1.014,0.016,3.999,1037.065,2080.536,1.281,1.281,1.000,1.093,0.915,0.897
51,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06549-09654,1.744,0.999,6.406E-5,4.905,3091.018,2096.870,1.922,1.281,0.911,1.434,0.697,0.872
52,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06557-14830,15.284,1.004,0.008,14.449,4747.183,2098.151,5.124,4.164,0.920,1.165,0.858,0.923
