 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
2694,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:03114-13344,22.773,1.604,0.509,18.26,4271.247,994.468,5.445,5.765,0.858,1.082,0.924,0.917
2695,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:03143-07314,0.205,2.992,0.038,1.922,2342.524,1006.318,0.32,0.641,0.698,2,0.5,1
2696,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:03145-07306,0.103,2.656,0,1.281,2339.962,1007.279,0.32,0.32,0.785,1,1,1
2697,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:03142-07309,2.257,2.913,0.116,11.246,2339.642,1005.357,2.562,2.242,0.224,1.583,0.632,0.603
2698,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:03161-09938,0.41,1.496,0.085,2.265,3182.617,1012.083,0.641,0.961,1,2,0.5,0.8
2699,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:03239-10649,39.493,1.337,0.373,24.025,3406.493,1034.183,8.327,6.406,0.86,1.359,0.736,0.93
2700,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:03342-08465,39.903,1.326,0.357,23.915,2707.643,1066.851,7.366,7.366,0.877,1.12,0.893,0.932
2701,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:03646-07861,0.103,2.922,0,1.281,2517.717,1167.739,0.32,0.32,0.785,1,1,1
2702,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:03650-07866,21.849,2.644,0.462,17.651,2516.756,1166.138,5.124,5.765,0.881,1.112,0.899,0.908
2703,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:03674-05662,0.103,0.998,0,1.281,1813.423,1176.707,0.32,0.32,0.785,1,1,1
2704,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:03756-11176,24.516,2.988,0.439,18.635,3576.561,1200.087,5.765,5.765,0.887,1.356,0.737,0.939
2705,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:03773-11060,38.775,1.125,0.177,23.119,3538.768,1205.212,7.366,6.726,0.912,1.076,0.93,0.949
2706,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:03796-09854,24.209,2.927,0.446,18.104,3153.472,1212.898,5.124,6.085,0.928,1.167,0.857,0.94
